company,location,careers_url,notes
Zydus Lifesciences,Ahmedabad,https://www.zyduslife.com/career,Verified official careers page
Torrent Pharmaceuticals,Ahmedabad,https://www.torrentpharma.com/careers/join-us/,Verified - has Submit Resume option
Sun Pharma,Vadodara / Halol,https://jobs.sunpharma.com/en,Verified official jobs portal
Cadila Pharmaceuticals,Ahmedabad (Dholka),https://careers.cadilapharma.com/in/en,Verified official careers page
Intas Pharmaceuticals,Ahmedabad (Matoda),https://www.intaspharma.com/careers/,Verified - View current vacancies
Amneal Pharmaceuticals,Ahmedabad,https://india.amneal.com/careers,Verified India careers page
Alembic Pharmaceuticals,Vadodara,https://www.alembicpharmaceuticals.com/,Open the Careers section on the site
Eris Lifesciences,Ahmedabad,https://www.erislifesciences.com/,Open the Careers section
Lincoln Pharmaceuticals,Ahmedabad,https://www.lincolnpharma.com/,Open the Careers section
Troikaa Pharmaceuticals,Ahmedabad,https://www.troikaapharma.com/,Open the Careers section
Concord Biotech,Ahmedabad (Dholka),https://www.concordbiotech.com/,Open the Careers section
Dishman Carbogen Amcis,Bavla (Ahmedabad),https://www.dishmangroup.com/,Already in email list - portal as backup
Meril Life Sciences,Vapi,https://www.merillife.com/careers,Medical devices + pharma
Unison Pharmaceuticals,Ahmedabad,https://www.unisonpharma.com/,Open the Careers section
Finecure Pharmaceuticals,Ahmedabad,https://www.finecure.in/,Open the Careers section
Macleods Pharmaceuticals,Pan-India,https://www.macleodspharma.com/careers,National - large QA/QC hiring
Cipla,Pan-India,https://www.cipla.com/careers,National portal
Lupin,Pan-India,https://www.lupin.com/careers/,National portal
Dr Reddys Laboratories,Pan-India,https://careers.drreddys.com/,National portal
Mankind Pharma,Pan-India,https://www.mankindpharma.com/careers,National portal
